,road,county,city,state
0,H Street,Fresno County,Fresno,California
1,International Boulevard Busway,Alameda County,Oakland,California
2,Gerritt Avenue,Los Angeles County,,California
3,South Carondelet Street,Los Angeles County,Los Angeles,California
4,South Modoc Street,Fresno County,Fresno,California
5,Vickie Lane,Orange County,Orange,California
6,Villa Park Road,Orange County,Orange,California
7,Ruthwood Way,Sacramento County,,California
8,Delgado Canyon Trail,Orange County,,California
9,Heavenly Ridge Lane,Contra Costa County,Richmond,California
10,El Paseo Street,Santa Clara County,,California
11,Hamilton Avenue,Santa Clara County,Milpitas,California
12,Ridgecrest Street,Los Angeles County,,California
13,Chaparral Trail,Riverside County,,California
14,Scranton Circle,Sacramento County,,California
15,,Imperial County,,California
16,Palm Avenue,San Diego County,,California
17,West Kettering Street,Los Angeles County,Lancaster,California
18,Camanche Parkway South,Calaveras County,,California
19,South Land Park Drive,Sacramento County,Sacramento,California
20,Cajon Boulevard,San Bernardino County,San Bernardino,California
21,North Macy Street,San Bernardino County,San Bernardino,California
22,Orchard Lane,Sacramento County,Sacramento,California
23,Sunset Boulevard,Los Angeles County,Los Angeles,California
24,Red Shack Trail,El Dorado County,,California
25,Lolita Street,Fresno County,,California
26,Le Sage Street,Los Angeles County,,California
27,South River Road,Yolo County,,California
28,Mossridge Way,El Dorado County,,California
29,Keith Street,Riverside County,Corona,California
30,Crawford Court,San Joaquin County,Stockton,California
31,Hazel Avenue,Tulare County,,California
32,North Holt Avenue,Fresno County,Fresno,California
33,Chapel Avenue,Los Angeles County,,California
34,,Los Angeles County,Los Angeles,California
35,West Avenue 31,Los Angeles County,Los Angeles,California
36,King Avenue,Napa County,Napa,California
37,,Orange County,,California
38,South Winchester Boulevard,Santa Clara County,,California
39,South Placentia Avenue,Orange County,,California
40,Peg Street,Kern County,,California
41,Phantom Avenue,Santa Clara County,,California
42,Moorpark Freeway,Ventura County,Thousand Oaks,California
43,Saddleback Drive,San Mateo County,,California
44,Helen Drive,San Mateo County,,California
45,Trenton Avenue,Riverside County,Corona,California
46,Phelan Avenue,Santa Clara County,San Jose,California
47,,Orange County,Huntington Beach,California
48,Lapham Way,,San Francisco,California
49,Garfield Avenue,Los Angeles County,,California
50,Le Roy Avenue,Alameda County,Berkeley,California
51,Charise Court,San Diego County,,California
52,East 106th Street,Los Angeles County,Los Angeles,California
53,East Mariposa Street,Los Angeles County,,California
54,Hillsdale Blvd Revekstok D Alley,Sacramento County,,California
55,Avenue 13 1/4,Madera County,,California
56,Delta De Anza Regional Trail,Contra Costa County,Antioch,California
57,5th Street,Merced County,,California
58,East Grove Avenue,Fresno County,Fresno,California
59,Johnston Street,Los Angeles County,Los Angeles,California
60,Hardial Drive,Sutter County,Yuba City,California
61,South Ontare Road,Santa Barbara County,Santa Barbara,California
62,North Mathilda Avenue,Santa Clara County,Sunnyvale,California
63,Marina Vista Drive,Orange County,,California
64,Princeton Drive,Santa Clara County,Sunnyvale,California
65,Bryant Avenue,Alameda County,Oakland,California
66,Willard Street,Los Angeles County,Los Angeles,California
67,East 31st Street,Los Angeles County,Los Angeles,California
68,Bolsa Chica Street,Orange County,Huntington Beach,California
69,Gaton Drive,Santa Clara County,San Jose,California
70,,Humboldt County,,California
71,Paseo Westpark,Orange County,Irvine,California
72,Acacia Drive,Humboldt County,Blue Lake,California
